	code	pos	r_ct	w_ct	z
102	B	jjnnp	7.0	5.0	-2.81892618288e-05
103	B	jjnns	64.0	49.0	0.000159669487225
104	B	jjprp	20.0	25.0	-0.000164364700607
105	B	jjrb	8.0	7.0	6.14916726571e-05
106	R	jjrcc	1.0	0.0	
107	B	jjrin	8.0	9.0	-0.000111876664854
108	B	jjrjj	4.0	5.0	1.79328357862e-05
109	B	jjrnn	12.0	7.0	0.000277268164778
110	B	jjrnns	5.0	5.0	-0.000179820252076
111	R	jjrrb	1.0	0.0	
112	B	jjsin	3.0	2.0	0.000110614208345
113	B	jjsjj	1.0	1.0	7.0317699804e-05
114	B	jjsnn	12.0	16.0	-0.000147516522706
115	B	jjsnns	5.0	3.0	0.00023785381906
116	R	jjsrb	1.0	0.0	
117	B	jjsvbg	1.0	2.0	-0.000111977201576
118	B	jjto	64.0	30.0	0.000661021600256
119	B	jjvbd	4.0	5.0	-0.000182813162965
120	B	jjvbg	3.0	2.0	7.63952250117e-05
121	B	jjvbn	1.0	1.0	-2.94232418241e-05
122	B	jjvbp	1.0	2.0	-8.36782469763e-05
123	R	jjwdt	1.0	0.0	
124	B	jjwrb	12.0	5.0	0.00035924740775
125	B	mdrb	12.0	20.0	-0.000339927639975
126	B	mdvb	62.0	33.0	0.000614232098809
127	B	nncc	139.0	99.0	0.000483611959276
128	B	nndt	35.0	32.0	4.05208824569e-06
129	B	nnex	3.0	3.0	1.89219714143e-05
130	B	nnin	313.0	352.0	-0.000396013390465
131	B	nnjj	7.0	7.0	2.85378322042e-05
132	R	nnjjr	2.0	0.0	
133	B	nnmd	9.0	7.0	9.14070418069e-05
134	B	nnnn	144.0	225.0	-0.000925529051664
135	B	nnnnp	17.0	13.0	0.000152123696305
136	B	nnnns	37.0	40.0	-4.84910883928e-05
137	B	nnpcc	42.0	36.0	0.000130990806877
138	B	nnpdt	7.0	6.0	-2.95665809304e-05
139	B	nnpin	13.0	19.0	-0.000292775190845
140	B	nnpjj	5.0	3.0	5.52424791237e-05
141	B	nnpjjs	1.0	1.0	-5.21616667008e-05
142	B	nnpmd	13.0	11.0	-5.08114897422e-05
143	B	nnpnn	54.0	86.0	-0.000742447020415
144	B	nnpnnp	11.0	21.0	-0.000306322420923
145	R	nnpnnps	1.0	0.0	
146	B	nnpnns	18.0	23.0	-0.000384276518322
147	B	nnpprp	6.0	8.0	-0.000179208041799
148	B	nnprb	56.0	65.0	-0.000292344154758
149	B	nnprp	40.0	47.0	-0.000204975951632
150	R	nnpsnnp	1.0	0.0	
151	B	nnpsvbd	3.0	1.0	0.000271775863249
152	B	nnpto	7.0	13.0	-0.000254378074858
153	B	nnpvb	4.0	5.0	-0.000211540759584
154	B	nnpvbd	711.0	785.0	-0.000282628141694
155	R	nnpvbn	1.0	0.0	
156	B	nnpvbp	7.0	12.0	-0.000287049424018
157	B	nnpvbz	36.0	51.0	-0.000607782133997
158	B	nnpwrb	1.0	1.0	-1.52773914102e-05
159	B	nnrb	80.0	109.0	-0.000542016658423
160	B	nnrbr	2.0	2.0	0.0
161	B	nnrp	5.0	8.0	-0.000195747095992
162	B	nnscc	22.0	20.0	1.10693322635e-05
163	B	nnscd	1.0	1.0	-2.28743021502e-05
164	B	nnsdt	1.0	2.0	-0.000269002508639
165	B	nnsin	63.0	65.0	1.55482710039e-05
166	B	nnsjj	2.0	3.0	-0.000149449741466
167	B	nnsmd	3.0	4.0	-5.84717108385e-05
168	B	nnsnn	16.0	19.0	-9.75790188354e-05
169	B	nnsnnp	3.0	3.0	-0.000407404960941
170	B	nnsnns	11.0	10.0	-3.47673670857e-05
171	B	nnsprp	8.0	12.0	-0.000114125435917
172	B	nnsrb	32.0	26.0	-1.36438958741e-05
173	B	nnsrbr	5.0	3.0	8.43700789256e-05
174	B	nnsrp	3.0	2.0	0.000104941000975
175	B	nnsto	23.0	19.0	6.22455889824e-05
176	B	nnsvb	4.0	5.0	-0.000144417660177
177	B	nnsvbd	72.0	65.0	0.000166473779764
178	B	nnsvbg	7.0	4.0	0.000270761270169
179	B	nnsvbn	10.0	2.0	0.00042881930145
180	B	nnsvbp	30.0	29.0	-1.24650087465e-05
181	R	nnsvbz	1.0	0.0	
182	B	nnswdt	1.0	2.0	-0.000103863719702
183	B	nnswrb	1.0	1.0	0.0
184	B	nnto	62.0	64.0	-9.55469341539e-05
185	B	nnvb	3.0	5.0	-0.000165607844181
186	B	nnvbd	325.0	303.0	0.000287495298279
187	B	nnvbg	17.0	13.0	5.51270735268e-05
188	B	nnvbn	9.0	5.0	0.000257682469706
189	B	nnvbp	3.0	14.0	-0.000544274964341
190	B	nnvbz	14.0	17.0	-8.45901951443e-05
191	B	nnwdt	7.0	4.0	0.000194363438408
192	B	nnwp	4.0	6.0	-0.000119825747619
193	B	nnwrb	10.0	5.0	0.00024581626608
194	B	pdtdt	13.0	17.0	-0.000177922341633
195	R	pdtnns	1.0	0.0	
196	B	prpcc	7.0	5.0	5.94330949038e-05
197	R	prpcd	1.0	0.0	
198	B	prpdt	36.0	29.0	0.000132527303133
199	R	prpex	1.0	0.0	
200	B	prpin	30.0	39.0	-0.000224149231902
201	B	prpjj	10.0	3.0	0.000458750724634
202	B	prpjjr	2.0	1.0	0.000164516767383
203	B	prpmd	49.0	29.0	0.000496065095876
204	B	prpnn	25.0	28.0	-2.26820156949e-05
205	R	prpnnp	1.0	0.0	
206	B	prpnns	5.0	4.0	3.8342126916e-05
207	B	prpprp	6.0	3.0	0.000113858592869
208	B	prprb	66.0	62.0	-6.77585529884e-05
209	B	prprbr	1.0	2.0	-0.000109104422249
210	B	prprp	15.0	12.0	2.74086183624e-05
211	B	prpto	23.0	19.0	-1.61853620811e-05
212	B	prpvb	15.0	12.0	3.82948547806e-05
213	B	prpvbd	711.0	591.0	0.000874391491952
214	R	prpvbg	2.0	0.0	
215	B	prpvbn	1.0	1.0	-1.29252933449e-05
216	B	prpvbp	50.0	62.0	-0.000223183986944
217	B	prpvbz	29.0	46.0	-0.000238248126366
218	R	prpwdt	1.0	0.0	
219	B	rbcc	25.0	24.0	9.56009256342e-05
220	R	rbcd	1.0	0.0	
221	B	rbdt	15.0	9.0	0.000342084823369
222	R	rbex	1.0	0.0	
223	B	rbin	55.0	70.0	-0.000402750512179
224	B	rbjj	149.0	122.0	0.000343746455216
225	B	rbjjr	7.0	6.0	8.86752283578e-05
226	B	rbnn	12.0	18.0	-0.000190883790296
227	B	rbnnp	21.0	6.0	0.00061277352006
228	B	rbnns	5.0	3.0	0.000243873353105
229	B	rbprp	36.0	9.0	0.000853199742289
230	B	rbrb	41.0	35.0	5.58632371113e-05
231	B	rbrbr	11.0	5.0	0.000269723213317
232	B	rbrin	7.0	4.0	0.000248818799297
233	B	rbrjj	22.0	6.0	0.000562457194323
234	B	rbrnn	3.0	2.0	8.97868174847e-05
235	R	rbrprp	1.0	0.0	
236	B	rbrrb	3.0	4.0	-7.4188109581e-05
237	R	rbrvbp	1.0	0.0	
238	B	rbto	21.0	51.0	-0.000778887492917
239	B	rbvb	40.0	76.0	-0.000780689917986
240	B	rbvbd	124.0	140.0	-0.000389842233977
241	B	rbvbg	11.0	7.0	0.000136526108786
242	B	rbvbn	30.0	53.0	-0.000538003268101
243	B	rbvbp	4.0	6.0	5.59657878295e-05
244	B	rbvbz	12.0	6.0	0.000246913457362
245	R	rbwp	4.0	0.0	
246	R	rbwrb	1.0	0.0	
247	B	rpcc	4.0	7.0	-0.00018172002666
248	B	rpdt	23.0	21.0	6.11786485414e-06
249	B	rpin	21.0	24.0	-0.00016336429962
250	B	rpjj	6.0	2.0	0.000281445874287
251	B	rpnn	9.0	8.0	-5.38207253349e-05
252	B	rpnns	2.0	2.0	-1.28287244823e-05
253	R	rppdt	1.0	0.0	
254	B	rpprp	1.0	2.0	-9.19417200634e-05
255	B	rprb	7.0	4.0	0.000141871436891
256	B	rpto	6.0	3.0	0.000184118126555
257	B	rpvbg	10.0	5.0	0.000183697594091
258	B	rpwrb	2.0	1.0	7.19884051833e-05
259	B	tocd	1.0	1.0	1.52773914102e-05
260	B	todt	49.0	67.0	-0.000467297146603
261	B	toin	2.0	2.0	-1.64835669081e-05
262	B	tojj	2.0	2.0	-4.9898205481e-05
263	B	tonn	32.0	27.0	3.00031881017e-05
264	B	tonnp	10.0	20.0	-0.000303720251331
265	B	tonns	9.0	6.0	0.000204961387815
266	R	topdt	1.0	0.0	
267	B	toprp	6.0	3.0	0.000290951988892
268	B	torb	14.0	17.0	-0.00023416023343
269	B	tovb	363.0	362.0	-0.000154743446787
270	B	tovbg	5.0	6.0	4.50143610571e-05
271	R	uhto	1.0	0.0	
272	B	vbcc	5.0	3.0	0.000115682206821
273	B	vbcd	1.0	1.0	-0.000108106799147
274	B	vbdcc	33.0	16.0	0.000456617898461
275	B	vbdcd	8.0	12.0	-0.000199709828772
276	B	vbddt	411.0	387.0	0.000340269588112
277	R	vbdex	2.0	0.0	
278	B	vbdin	133.0	119.0	0.000257378338504
279	B	vbdjj	251.0	193.0	0.000375872974028
280	B	vbdjjr	5.0	8.0	-0.00031569812255
281	B	vbdjjs	3.0	1.0	0.000349515524762
282	B	vbdnn	153.0	159.0	-0.000118172530922
283	B	vbdnnp	33.0	48.0	-0.00045339928443
284	B	vbdnns	55.0	38.0	0.000250651497999
285	B	vbdpdt	2.0	5.0	-0.000227831710265
286	B	vbdprp	213.0	168.0	0.00042656745247
287	B	vbdrb	226.0	301.0	-0.000734705901859
288	B	vbdrbr	17.0	7.0	0.000430650303685
289	B	vbdrp	62.0	65.0	-2.98097307829e-05
290	B	vbdt	131.0	140.0	-0.000162760421157
291	B	vbdto	191.0	204.0	-0.000255498167173
292	R	vbduh	2.0	0.0	
293	B	vbdvb	2.0	2.0	-4.18715668199e-06
294	B	vbdvbd	5.0	5.0	-0.000123533815827
295	B	vbdvbg	55.0	78.0	-0.000698681776985
296	B	vbdvbn	206.0	152.0	0.00122591290042
297	R	vbdvbp	1.0	0.0	
298	B	vbdwp	9.0	3.0	0.000314247747431
299	B	vbdwrb	5.0	7.0	-0.000167355865386
300	B	vbgcc	3.0	3.0	-1.53139623258e-06
301	B	vbgdt	37.0	30.0	0.000202125689146
302	B	vbgin	28.0	23.0	7.5908277814e-05
303	B	vbgjj	12.0	10.0	0.000136473457531
304	B	vbgjjr	3.0	1.0	0.000141652570556
305	R	vbgmd	1.0	0.0	
306	B	vbgnn	25.0	26.0	-0.000104349731029
307	B	vbgnns	10.0	13.0	-0.000216733076291
308	B	vbgprp	16.0	12.0	0.000123107977934
309	B	vbgrb	19.0	23.0	-0.000126094008725
310	B	vbgrbr	2.0	1.0	3.02607961901e-05
311	B	vbgrp	10.0	3.0	0.000438383456705
312	B	vbgto	16.0	9.0	0.000237809628574
313	B	vbgvbg	1.0	2.0	-0.000149622550025
314	B	vbgvbn	4.0	4.0	-0.000116284029326
315	R	vbgvbz	1.0	0.0	
316	B	vbin	61.0	47.0	0.000215212685305
317	B	vbjj	28.0	28.0	-8.72130417448e-05
318	B	vbjjr	11.0	2.0	0.000498659507225
319	B	vbncc	13.0	6.0	0.000311627883629
320	R	vbncd	2.0	0.0	
321	B	vbndt	24.0	15.0	0.000220775643205
322	B	vbnin	58.0	94.0	-0.000651908140245
